{'NZ_AP017367_1_2648387_2647884'},,,,58.77183157,
    {'NZ_AP017367_1_1410328_1409810'},,,,112.6460105,
    {'NZ_AP017367_1_1608690_1607074'},,,,91.42284911,
    {'NZ_AP017367_1_5029535_5028120'},,,,36319.35936,biosynthetic-type acetolactate synthase large
    {'NZ_AP017367_1_1608660_1607077'},,,,36319.35936,                
    {'NZ_AP017367_1_5029574_5028219'},,,,36319.35936,
    {'NZ_AP017367_1_3816554_3815529'},,,,0,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
    {'NZ_AP017367_1_29956_28976'    },,,,0,alpha-ketoacid dehydrogenase subunit beta
    {'NZ_AP017367_1_398996_396423'  },,,,0,COG1049
    {'NZ_AP017367_1_1468096_1469502'},,,,0,form I ribulose bisphosphate carboxylase large
    {'NZ_AP017367_1_1322007_1323359'},,,,2615.346505,glycoside hydrolase family 1 protein
    {'NZ_AP017367_1_4075542_4076963'},,,,202692.6192,glycoside hydrolase family 13 protein
    {'NZ_AP017367_1_927576_926659'  },,,,7447.697101,porphobilinogen synthase
    {'NZ_AP017367_1_4740936_4740310'},,,,0,cytochrome c oxidase subunit 3
    {'NZ_AP017367_1_5389535_5390110'},,,,0,cytochrome c oxidase subunit 3
    {'NZ_AP017367_1_4742775_4741126'},,,,75281.81859,cytochrome c oxidase subunit I
    {'NZ_AP017367_1_5387794_5389458'},,,,75281.81859,cytochrome c oxidase subunit I
    {'NZ_AP017367_1_4743956_4742877'},,,,0,cytochrome c oxidase subunit II
    {'NZ_AP017367_1_5386787_5387647'},,,,0,cytochrome c oxidase subunit II
    {'NZ_AP017367_1_694823_695740'  },,,,0,hydroxymethylbilane synthase
    {'NZ_AP017367_1_5063476_5064858'},,,,1466.030688,F0F1 ATP synthase subunit beta
    {'NZ_AP017367_1_907100_905592'  },,,,17.95805965,F0F1 ATP synthase subunit alpha
    {'NZ_AP017367_1_1073105_1074094'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_1174299_1172830'},,,,0,COG0664
    {'NZ_AP017367_1_1178841_1177345'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_1433196_1434686'},,,,0,peptidase domain-containing ABC transporter
    {'NZ_AP017367_1_1981492_1980431'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_2664448_2663288'},,,,0,TRC40/GET3/ArsA family transport-energizing  ATPase
