{'NZ_AP017367_1_2648387_2647884'},,,,1779.480456,inorganic diphosphatase
    {'NZ_AP017367_1_1410328_1409810'},,,,0,acetolactate synthase small subunit
    {'NZ_AP017367_1_1608690_1607074'},,,,10356.90276,acetolactate synthase large subunit
    {'NZ_AP017367_1_5029535_5028120'},,,,36319.35936,biosynthetic-type acetolactate synthase large
    {'NZ_AP017367_1_1608660_1607077'},,,,36319.35936,biosynthetic-type acetolactate synthase large
    {'NZ_AP017367_1_5029574_5028219'},,,,36319.35936,biosynthetic-type acetolactate synthase large
    {'NZ_AP017367_1_3816554_3815529'},,,,3598.142133,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
    {'NZ_AP017367_1_29956_28976'    },,,,0,alpha-ketoacid dehydrogenase subunit beta
    {'NZ_AP017367_1_398996_396423'  },,,,0,COG1049
    {'NZ_AP017367_1_1468096_1469502'},,,,388.5471087,form I ribulose bisphosphate carboxylase large subunit
    {'NZ_AP017367_1_1322007_1323359'},,,,2615.346505,glycoside hydrolase family 1 protein
    {'NZ_AP017367_1_4075542_4076963'},,,,202692.6192,glycoside hydrolase family 13 protein
    {'NZ_AP017367_1_927576_926659'  },,,,7447.697101,porphobilinogen synthase
    {'NZ_AP017367_1_4740936_4740310'},,,,0,cytochrome c oxidase subunit 3
    {'NZ_AP017367_1_5389535_5390110'},,,,0,cytochrome c oxidase subunit 3
    {'NZ_AP017367_1_4742775_4741126'},,,,75281.81859,cytochrome c oxidase subunit I
    {'NZ_AP017367_1_5387794_5389458'},,,,75281.81859,cytochrome c oxidase subunit I
    {'NZ_AP017367_1_4743956_4742877'},,,,0,cytochrome c oxidase subunit II
    {'NZ_AP017367_1_5386787_5387647'},,,,0,cytochrome c oxidase subunit II
    {'NZ_AP017367_1_694823_695740'  },,,,24.48826316,hydroxymethylbilane synthase
    {'NZ_AP017367_1_5063476_5064858'},,,,1466.030688,F0F1 ATP synthase subunit beta
    {'NZ_AP017367_1_907100_905592'  },,,,17.95805965,F0F1 ATP synthase subunit alpha
    {'NZ_AP017367_1_1073105_1074094'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_1174299_1172830'},,,,0,COG0664
    {'NZ_AP017367_1_1178841_1177345'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_1433196_1434686'},,,,0,peptidase domain-containing ABC transporter
    {'NZ_AP017367_1_1981492_1980431'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_2664448_2663288'},,,,0,TRC40/GET3/ArsA family transport-energizing  ATPase
    {'NZ_AP017367_1_2680396_2678909'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_3693095_3691974'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_3827030_3827737'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_3910563_3909442'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_3961267_3962331'},,,,169.7852912,COG3842
    {'NZ_AP017367_1_4199965_4201479'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_4258510_4260165'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_4312678_4314432'},,,,2546.779368,ABC transporter ATP-binding protein
    {'NZ_AP017367_1_4702316_4701537'},,,,94.68795087,phosphate ABC transporter ATP-binding protein
    {'NZ_AP017367_1_4787040_4785319'},,,,16356.52724,COG1132
    {'NZ_AP017367_1_570918_569443'  },,,,16356.52724,COG1132
    {'NZ_AP017367_1_734345_735595'  },,,,2546.779368,COG3839
    {'NZ_AP017367_1_80638_82239'    },,,,16356.52724,COG1132
    {'NZ_AP017367_1_404735_401058'  },,,,35.91611929,glutamate synthase-related protein
    {'NZ_AP017367_1_5153575_5148947'},,,,24130.73451,glutamate synthase large subunit
    {'NZ_AP017367_1_5148428_5146968'},,,,0,glutamate synthase subunit beta
    {'NZ_AP017367_1_2307841_2305835'},,,,25056.39086,NAD(P)H-quinone oxidoreductase subunit 5
    {'NZ_AP017367_1_2453123_2452545'},,,,0,Maf family protein
    {'NZ_AP017367_1_4287377_4286463'},,,,0,NAD(+) kinase
    {'NZ_AP017367_1_5088183_5089097'},,,,0,NAD(+) kinase
    {'NZ_AP017367_1_5153566_5148902'},,,,24130.73451,glutamate synthase large subunit
    {'NZ_AP017367_1_605234_607021'  },,,,0,signal peptide peptidase SppA
    {'NZ_AP017367_1_3139255_3138551'},,,,0,urease subunit gamma
    {'NZ_AP017367_1_501228_502934'  },,,,0,urease subunit alpha
    {'NZ_AP017367_1_2081807_2080590'},,,,22752.86157,NAD(P)H-quinone oxidoreductase subunit 4
    {'NZ_AP017367_1_3983200_3984381'},,,,10892.37945,NAD(P)H-quinone oxidoreductase subunit H
    {'NZ_AP017367_1_4224293_4223769'},,,,32.65101754,NAD(P)H-quinone oxidoreductase subunit J
    {'NZ_AP017367_1_4224978_4224391'},,,,0,NADH dehydrogenase subunit K
    {'NZ_AP017367_1_4289057_4288458'},,,,16.32550877,NAD(P)H-quinone oxidoreductase subunit I
    {'NZ_AP017367_1_5157428_5156220'},,,,6148.186603,NADH-quinone oxidoreductase subunit M
    {'NZ_AP017367_1_563911_562415'  },,,,13.06040702,NAD(P)H-quinone oxidoreductase subunit N
    {'NZ_AP017367_1_4686467_4688575'},,,,0,molybdopterin oxidoreductase family protein
    {'NZ_AP017367_1_1969369_1971435'},,,,11468.66991,polyphosphate kinase 1
    {'NZ_AP017367_1_3969967_3969521'},,,,16.32550877,nucleoside-diphosphate kinase
    {'NZ_AP017367_1_739502_742792'  },,,,41522.29901,carbamoyl-phosphate synthase large subunit
    {'NZ_AP017367_1_1780732_1780001'},,,,0,UMP kinase
    {'NZ_AP017367_1_786464_785616'  },,,,0,bifunctional riboflavin kinase/FAD synthetase
    {'NZ_AP017367_1_3198702_3199925'},,,,0,methionine adenosyltransferase
    {'NZ_AP017367_1_3469431_3470009'},,,,7499.938729,LOG family protein
    {'NZ_AP017367_1_789220_788393'  },,,,0,5'/3'-nucleotidase SurE
    {'NZ_AP017367_1_2982572_2984302'},,,,0,NAD+ synthase
    {'NZ_AP017367_1_1207326_1206817'},,,,0,Adenine phosphoribosyltransferase
    {'NZ_AP017367_1_3753957_3752566'},,,,26445.69166,glycolate oxidase subunit GlcD
    {'NZ_AP017367_1_1410730_1413174'},,,,0,putative PEP-binding protein
    {'NZ_AP017367_1_4639656_4637257'},,,,293.8591579,phosphoenolpyruvate synthase
    {'NZ_AP017367_1_1684548_1682818'},,,,1035.037256,pyruvate kinase
    {'NZ_AP017367_1_5405587_5404190'},,,,1035.037256,pyruvate kinase
    {'NZ_AP017367_1_1610147_1608759'},,,,0,NAD-dependent succinate-semialdehyde  dehydrogenase
    {'NZ_AP017367_1_3377048_3378463'},,,,16.32550877,aldehyde dehydrogenase family protein
    {'NZ_AP017367_1_3406301_3404772'},,,,12957.55631,L-glutamate gamma-semialdehyde dehydrogenase
    {'NZ_AP017367_1_834856_833459'  },,,,0,aminobutyraldehyde dehydrogenase
    {'NZ_AP017367_1_2402390_2403679'},,,,0,dihydrolipoamide acetyltransferase family
    {'NZ_AP017367_1_3216057_3217361'},,,,0,mercuric reductase
    {'NZ_AP017367_1_4644460_4642262'},,,,0,formate C-acetyltransferase
